method,step,elastic_loss,neo_loss
lbs,0,591.6830444335938,45311404.0
lbs,1,3249.36474609375,80881.1015625
lbs,2,3179.830810546875,41124.58984375
lbs,3,4581.6572265625,41162.6953125
lbs,4,8028.91162109375,5997.18115234375
lbs,5,8080.79150390625,1924.3460693359375
lbs,6,4246.63525390625,2116.994140625
lbs,7,4043.730224609375,3531.535888671875
lbs,8,5553.966796875,4867.38671875
lbs,9,4756.02392578125,6014.2373046875
lbs,10,5983.22216796875,4355.2197265625
lbs,11,5179.10693359375,1649.672607421875
lbs,12,5377.482421875,3121.827392578125
lbs,13,5850.12841796875,2145.498779296875
lbs,14,2823.98486328125,2210.52490234375
lbs,15,4272.30029296875,1787.7587890625
lbs,16,3974.560546875,1286.5
lbs,17,4995.48779296875,3517.704833984375
lbs,18,3156.18212890625,3237.53466796875
lbs,19,4198.21240234375,2055.662109375
lbs,20,3582.490966796875,3014.351806640625
lbs,21,2552.236572265625,1543.124267578125
lbs,22,2793.89990234375,1481.0142822265625
lbs,23,2474.0712890625,1787.5965576171875
lbs,24,3747.748046875,895.408203125
lbs,25,3432.80859375,6202.9521484375
lbs,26,3570.281005859375,2053.9814453125
lbs,27,3522.228271484375,1797.2137451171875
lbs,28,2054.37744140625,945.510986328125
lbs,29,3253.352783203125,2697.84033203125
lbs,30,2697.52001953125,1132.001953125
lbs,31,4327.16552734375,818.0353393554688
lbs,32,2750.695068359375,811.0888061523438
lbs,33,2336.03125,1215.151611328125
lbs,34,3492.453125,1440.839599609375
lbs,35,4169.05029296875,1497.133056640625
lbs,36,3607.743896484375,1527.876708984375
lbs,37,2462.501708984375,1340.82763671875
lbs,38,2605.9853515625,1577.2830810546875
lbs,39,2241.00048828125,5457.3681640625
lbs,40,3233.469970703125,1672.1650390625
lbs,41,1962.8729248046875,2126.89697265625
lbs,42,2328.286865234375,1770.7041015625
lbs,43,3285.829345703125,1579.8431396484375
lbs,44,3011.279541015625,759.2684326171875
lbs,45,2783.166015625,2873.988525390625
lbs,46,3275.41943359375,1686.547607421875
lbs,47,3197.501708984375,1300.0823974609375
lbs,48,2236.48583984375,1499.6563720703125
lbs,49,2866.769775390625,1813.763671875
dqlbs,0,4419584.5,79298648.0
dqlbs,1,4999270.0,255409.1875
dqlbs,2,3954382.0,218520.484375
dqlbs,3,5663090.5,204095.203125
dqlbs,4,2714846.75,187109.015625
dqlbs,5,3242305.75,173222.640625
dqlbs,6,3183843.0,179152.9375
dqlbs,7,3481866.75,164600.25
dqlbs,8,1358141.5,173159.828125
dqlbs,9,4308932.0,177712.609375
dqlbs,10,5443897.5,167701.796875
dqlbs,11,2950932.5,179474.296875
dqlbs,12,3185433.5,169110.640625
dqlbs,13,1773324.0,167865.8125
dqlbs,14,951938.9375,166471.5
dqlbs,15,3942587.25,176596.5625
dqlbs,16,2991375.75,165261.375
dqlbs,17,3540829.75,171273.328125
dqlbs,18,3098438.75,163282.125
dqlbs,19,2881933.25,163908.484375
dqlbs,20,2206452.75,163941.0
dqlbs,21,1876803.25,161665.5
dqlbs,22,2001019.375,163026.734375
dqlbs,23,2279927.25,162038.796875
dqlbs,24,2378667.75,162924.453125
dqlbs,25,1530077.375,167942.078125
dqlbs,26,1593476.625,162832.015625
dqlbs,27,1968052.625,162830.234375
dqlbs,28,1679591.0,163200.875
dqlbs,29,2068947.0,161376.96875
dqlbs,30,1152794.875,162814.203125
dqlbs,31,1847363.625,162478.3125
dqlbs,32,1521851.25,160981.8125
dqlbs,33,1261307.625,161664.078125
dqlbs,34,763278.9375,162268.96875
dqlbs,35,783548.5,161313.984375
dqlbs,36,1483930.0,160350.90625
dqlbs,37,904510.125,162675.78125
dqlbs,38,951283.125,160284.328125
dqlbs,39,670512.9375,162571.625
dqlbs,40,760235.5625,160257.09375
dqlbs,41,571169.125,160226.71875
dqlbs,42,938158.6875,160250.609375
dqlbs,43,615263.6875,160202.78125
dqlbs,44,453189.3125,160268.25
dqlbs,45,297908.96875,160101.03125
dqlbs,46,480382.0,159983.15625
dqlbs,47,122671.9140625,160000.015625
dqlbs,48,233838.328125,160016.5
dqlbs,49,71703.7265625,160000.078125
